meeting_key,deal_key,company_key,rep_key,meeting_date_key,meeting_status,no_show_flag,days_from_create,days_to_close
M0000001,D0000001,C0014544,R013,20240514,Held,0,0.0,9.0
M0000002,D0000002,C0053294,R015,20250213,Held,0,1.0,20.0
M0000003,D0000003,C0020067,R001,20250115,Held,0,0.0,15.0
M0000004,D0000004,C0070281,R002,20260701,Held,0,0.0,28.0
M0000005,D0000005,C0011793,R015,20241225,Cancelled,1,0.0,
M0000006,D0000006,C0091790,R007,20260812,Held,0,0.0,14.0
M0000007,D0000007,C0041573,R007,20260702,Held,0,0.0,7.0
M0000008,D0000008,C0052451,R003,20260807,Cancelled,1,0.0,
M0000009,D0000009,C0012082,R006,20240130,Cancelled,1,0.0,
M0000010,D0000010,C0054764,R002,20240614,Held,0,1.0,5.0
M0000011,D0000011,C0026166,R003,20250823,Cancelled,1,1.0,
M0000012,D0000012,C0029203,R001,20240410,Held,0,0.0,5.0
M0000013,D0000013,C0072273,R006,20240425,Cancelled,1,1.0,
M0000014,D0000014,C0037511,R009,20261012,Cancelled,1,0.0,
M0000015,D0000015,C0053190,R012,20260721,Cancelled,1,1.0,
M0000016,D0000016,C0004990,R012,20240409,Cancelled,1,1.0,
M0000017,D0000017,C0097474,R013,20261218,Held,0,1.0,24.0
M0000018,D0000018,C0089383,R007,20240612,Cancelled,1,1.0,
M0000019,D0000019,C0075058,R002,20240920,Cancelled,1,0.0,
M0000020,D0000020,C0081664,R004,20240606,Cancelled,1,1.0,
M0000021,D0000021,C0091357,R003,20250722,Held,0,1.0,13.0
M0000022,D0000022,C0081567,R010,20260330,Held,0,0.0,4.0
M0000023,D0000023,C0003949,R009,20241014,Cancelled,1,0.0,
M0000024,D0000024,C0013474,R004,20240621,Cancelled,1,0.0,
M0000025,D0000025,C0000503,R014,20261208,Held,0,0.0,29.0
M0000026,D0000026,C0022234,R008,20250627,Held,0,0.0,3.0
M0000027,D0000027,C0091716,R014,20260916,Held,0,1.0,13.0
M0000028,D0000028,C0032855,R005,20261107,Cancelled,1,1.0,
M0000029,D0000029,C0063105,R009,20250816,Held,0,1.0,2.0
M0000030,D0000030,C0014109,R014,20250911,Held,0,1.0,15.0
M0000031,D0000031,C0008724,R006,20260617,Cancelled,1,0.0,
M0000032,D0000032,C0055448,R014,20240802,Cancelled,1,0.0,
M0000033,D0000033,C0061593,R003,20250808,Held,0,0.0,13.0
M0000034,D0000034,C0059721,R006,20251006,Cancelled,1,0.0,
M0000035,D0000035,C0005680,R015,20250806,Cancelled,1,1.0,
M0000036,D0000036,C0051533,R006,20250108,Held,0,0.0,4.0
M0000037,D0000037,C0063087,R008,20250924,Held,0,0.0,16.0
M0000038,D0000038,C0090008,R001,20241023,Held,0,1.0,18.0
M0000039,D0000039,C0070526,R014,20250513,Held,0,1.0,12.0
M0000040,D0000040,C0024796,R003,20260502,Cancelled,1,1.0,
M0000041,D0000041,C0067581,R005,20240208,Cancelled,1,0.0,
M0000042,D0000042,C0053705,R014,20241004,Cancelled,1,1.0,
M0000043,D0000043,C0057214,R007,20260925,Held,0,1.0,6.0
M0000044,D0000044,C0039120,R004,20260310,Held,0,0.0,13.0
