deal_key,company_key,channel_key,campaign_key,rep_key,stage_key,lost_reason_key,created_date_key,won_date_key,lost_date_key,mrr_usd,tcv_usd,dialer_hours_attributed,deal_age_days,is_won,is_lost,churn_date_key,is_churned,retained_months,churned_mrr
D0000001,C0055539,CH03,,R001,S07,LR14,20241104,20241113,0,1012.85,13941.33,0.0,9.0,1,0,0,0,12.0,0.0
D0000002,C0033363,CH07,CMP006,R006,S09,LR08,20260831,0,20260913,0.0,0.0,0.0,13.0,0,1,0,0,,0.0
D0000003,C0039332,CH01,,R005,S01,LR07,20260903,0,20261012,0.0,0.0,2.23,39.0,0,1,0,0,,0.0
D0000004,C0028943,CH01,,R005,S04,LR01,20251029,0,20260128,0.0,0.0,3.23,91.0,0,1,0,0,,0.0
D0000005,C0039846,CH01,,R006,S08,LR14,20260609,20260622,0,436.83,5495.25,2.84,13.0,1,0,20261231,1,8.0,436.83
D0000006,C0037140,CH03,,R013,S05,LR04,20260603,0,20260614,0.0,0.0,0.0,11.0,0,1,0,0,,0.0
D0000007,C0021750,CH01,,R006,S07,LR14,20250401,20250514,0,712.16,8088.44,3.2,43.0,1,0,0,0,12.0,0.0
D0000008,C0046131,CH01,,R009,S05,LR02,20240527,0,20240621,0.0,0.0,4.77,25.0,0,1,0,0,,0.0
D0000009,C0031921,CH06,CMP007,R015,S02,LR06,20250910,0,20251014,0.0,0.0,0.0,34.0,0,1,0,0,,0.0
D0000010,C0016146,CH06,CMP009,R015,S01,LR08,20260622,0,20260703,0.0,0.0,0.0,11.0,0,1,0,0,,0.0
D0000011,C0049958,CH04,,R001,S07,LR14,20260114,20260131,0,667.52,7913.5,0.0,17.0,1,0,20260630,1,5.0,667.52
D0000012,C0056586,CH08,,R009,S05,LR06,20250606,0,20250611,0.0,0.0,0.0,5.0,0,1,0,0,,0.0
D0000013,C0006995,CH01,,R002,S05,LR11,20260727,0,20260822,0.0,0.0,4.14,26.0,0,1,0,0,,0.0
D0000014,C0015928,CH01,,R010,S01,LR06,20250819,0,20250823,0.0,0.0,2.64,4.0,0,1,0,0,,0.0
D0000015,C0011392,CH01,,R008,S05,LR13,20261012,0,20261110,0.0,0.0,2.54,29.0,0,1,0,0,,0.0
D0000016,C0013826,CH03,,R009,S09,LR14,20250417,0,20250421,0.0,0.0,0.0,4.0,0,1,0,0,,0.0
