meeting_key,deal_key,company_key,channel_key,rep_key,meeting_date_key,meeting_status,no_show_flag,days_from_first_touch,days_to_close
M0000001,D0000001,C0055539,CH03,R001,20241105,Held,0,1.0,4.0
M0000002,D0000002,C0033363,CH07,R006,20260903,Held,0,3.0,6.0
M0000003,D0000003,C0039332,CH01,R005,20260904,Held,0,1.0,21.0
M0000004,D0000004,C0028943,CH01,R005,20251101,Cancelled,1,3.0,
M0000005,D0000005,C0039846,CH01,R006,20260610,Held,0,1.0,7.0
M0000006,D0000006,C0037140,CH03,R013,20260604,Held,0,1.0,6.0
M0000007,D0000007,C0021750,CH01,R006,20250404,Held,0,3.0,22.0
M0000008,D0000008,C0046131,CH01,R009,20240529,Held,0,2.0,13.0
M0000009,D0000009,C0031921,CH06,R015,20250912,Held,0,2.0,18.0
M0000010,D0000010,C0016146,CH06,R015,20260625,Held,0,3.0,4.0
M0000011,D0000011,C0049958,CH04,R001,20260114,Held,0,0.0,9.0
M0000012,D0000012,C0056586,CH08,R009,20250606,Held,0,0.0,3.0
M0000013,D0000013,C0006995,CH01,R002,20260729,Held,0,2.0,13.0
M0000014,D0000014,C0015928,CH01,R010,20250819,Held,0,0.0,2.0
M0000015,D0000015,C0011392,CH01,R008,20261012,Held,0,0.0,16.0
M0000016,D0000016,C0013826,CH03,R009,20250419,Held,0,2.0,1.0
M0000017,D0000017,C0045876,CH06,R015,20250829,Cancelled,1,0.0,
M0000018,D0000018,C0038011,CH01,R003,20261117,Held,0,0.0,8.0
M0000019,D0000019,C0046930,CH03,R007,20261112,Held,0,0.0,3.0
M0000020,D0000020,C0002923,CH01,R011,20251024,Held,0,3.0,13.0
M0000021,D0000021,C0006568,CH01,R007,20241226,Held,0,1.0,5.0
M0000022,D0000022,C0024792,CH08,R014,20240720,Held,0,1.0,3.0
M0000023,D0000023,C0024160,CH05,R006,20261216,Held,0,2.0,12.0
M0000024,D0000024,C0052018,CH01,R012,20251227,Held,0,2.0,5.0
M0000025,D0000025,C0010613,CH01,R006,20240526,Held,0,2.0,2.0
M0000026,D0000026,C0026515,CH01,R002,20260610,Held,0,2.0,34.0
M0000027,D0000027,C0022220,CH01,R007,20240913,Held,0,1.0,19.0
M0000028,D0000028,C0022068,CH03,R012,20250801,Held,0,1.0,4.0
M0000029,D0000029,C0031974,CH01,R005,20250223,Held,0,2.0,2.0
M0000030,D0000030,C0024497,CH05,R001,20250205,Held,0,2.0,19.0
M0000031,D0000031,C0031045,CH04,R008,20250427,Held,0,2.0,29.0
M0000032,D0000032,C0030820,CH01,R010,20240818,Held,0,3.0,15.0
M0000033,D0000033,C0010229,CH01,R012,20260216,Cancelled,1,3.0,
M0000034,D0000034,C0028633,CH05,R011,20250405,Cancelled,1,3.0,
M0000035,D0000035,C0002170,CH04,R007,20240503,Held,0,3.0,5.0
M0000036,D0000036,C0020549,CH01,R009,20260927,Held,0,2.0,6.0
M0000037,D0000037,C0054486,CH06,R001,20251006,Held,0,0.0,35.0
M0000038,D0000038,C0001768,CH01,R015,20240729,Held,0,0.0,12.0
M0000039,D0000039,C0008435,CH01,R013,20260828,Held,0,1.0,24.0
M0000040,D0000040,C0002097,CH01,R013,20240919,Held,0,3.0,26.0
M0000041,D0000041,C0039164,CH03,R003,20250306,Held,0,2.0,3.0
M0000042,D0000042,C0011742,CH01,R004,20251114,Held,0,0.0,4.0
M0000043,D0000043,C0023999,CH01,R014,20250308,Held,0,1.0,10.0
M0000044,D0000044,C0020276,CH01,R009,20250603,Cancelled,1,0.0,
M0000045,D0000045,C0002965,CH01,R004,20240424,Cancelled,1,2.0,
