cvr,company_name,company_form,industry_nace,region,founded_year,employee_band,vat_frequency,has_subsidiaries,uses_target_software
DK79017536,BjergVaerk Holding ApS,ApS,85590,Sjaelland,1999,5-9,Quarterly,False,1
DK28254086,LynKonsult A/S,ENK,70220,Hovedstaden,1991,1-4,Quarterly,False,0
DK53803893,KlippeAdvice Holding ApS,ApS,01130,Nordjylland,2017,1-4,Quarterly,False,1
DK39362264,BjergRen IVS,A_S,56100,Hovedstaden,2005,1-4,Quarterly,False,0
DK14178163,SoeKonsulent IVS,ApS,62010,Hovedstaden,1992,10-19,Half-yearly,False,0
DK21597486,LynLabs ApS,ENK,68203,Hovedstaden,2011,5-9,Quarterly,False,0
DK84757133,BirkVaerk A/S,Holding,85590,Hovedstaden,2018,0,Quarterly,True,0
DK59365314,HavData A/S,ApS,85590,Syddanmark,2024,5-9,Quarterly,False,1
DK37184613,StjerneVaerk ApS,ApS,62020,Syddanmark,2021,0,Quarterly,False,1
DK43933735,HavBogholderi IVS,ApS,71121,Syddanmark,2022,1-4,Quarterly,False,0
DK23456056,OestSmede Holding ApS,ApS,70220,Hovedstaden,2006,1-4,Quarterly,False,1
DK17276220,StjerneRegnskab Holding ApS,ApS,49410,Sjaelland,2015,20-49,Half-yearly,False,0
DK50584097,SolSystem Holding ApS,ApS,41200,Syddanmark,2019,5-9,Quarterly,False,1
DK60693051,KlintKontor A/S,ENK,96020,Syddanmark,1998,10-19,Quarterly,False,0
DK61795724,MaaneService Holding ApS,ApS,70220,Hovedstaden,1990,1-4,Quarterly,False,1
DK93375246,SydAdvice Holding ApS,ENK,63110,Hovedstaden,1990,0,Quarterly,False,0
DK33369172,SkovRen A/S,ApS,46900,Hovedstaden,2016,1-4,Quarterly,False,0
DK36968220,AaaStudio A/S,ENK,62010,Syddanmark,1996,20-49,Half-yearly,False,0
DK87098419,LynHuset Holding ApS,ApS,96020,Syddanmark,1997,0,Quarterly,False,0
DK85144996,VestLogistik Holding ApS,ENK,41200,Midtjylland,2001,1-4,Quarterly,False,1
DK68576184,LynSystem ApS,ApS,47990,Hovedstaden,2006,1-4,Quarterly,False,0
DK99208001,KlippeMarked A/S,ApS,69200,Sjaelland,2024,1-4,Quarterly,False,0
DK32440702,OestLogistik IVS,ApS,68203,Midtjylland,1994,5-9,Quarterly,False,1
DK14364512,LynStudio A/S,ApS,49410,Syddanmark,2021,0,Quarterly,False,0
DK32003908,FjordHuset ApS,ApS,85590,Midtjylland,1990,0,Monthly,False,0
DK64757506,LynService A/S,ENK,62020,Midtjylland,2016,1-4,Half-yearly,False,1
DK77366223,SoeStudio A/S,ApS,71121,Hovedstaden,1994,1-4,Monthly,False,0
DK11774704,BirkData IVS,ApS,62010,Hovedstaden,2012,0,Monthly,False,0
DK78595704,AaaHuset IVS,ApS,62020,Sjaelland,2022,20-49,Quarterly,False,1
DK19213329,SkyKonsulent Holding ApS,ApS,56100,Hovedstaden,2007,0,Quarterly,False,1
DK42107143,SydSystem ApS,ApS,47990,Midtjylland,1993,0,Half-yearly,False,0
DK66422980,EngStudio IVS,ApS,68203,Sjaelland,2010,5-9,Quarterly,False,1
DK91217635,HavRaad IVS,ApS,69200,Midtjylland,1993,1-4,Quarterly,False,0
DK53137420,FjordData IVS,ApS,70220,Midtjylland,1993,5-9,Quarterly,False,1
DK84286508,StjerneRegnskab ApS,A_S,71121,Midtjylland,1999,1-4,Quarterly,False,1
DK14476488,EngHuset Holding ApS,ENK,62020,Nordjylland,1998,1-4,Quarterly,False,0
DK86690763,MarkBogholderi IVS,ENK,62020,Midtjylland,2020,5-9,Quarterly,False,1
DK96183318,SkyKontor Holding ApS,ApS,71121,Sjaelland,2016,5-9,Monthly,False,1
DK87092777,SkyRegnskab A/S,ENK,63110,Hovedstaden,2024,1-4,Quarterly,False,1
DK62514419,HavRaad A/S,A_S,41200,Hovedstaden,2024,5-9,Monthly,False,1
DK57566268,SkyVaerk ApS,A_S,70220,Syddanmark,1998,5-9,Half-yearly,False,1
DK48287392,BirkLabs Holding ApS,ApS,96020,Syddanmark,2003,1-4,Quarterly,False,1
DK13227731,StjerneByg IVS,ApS,56100,Hovedstaden,2002,10-19,Quarterly,False,0
DK23175084,AaaAdvice IVS,ApS,69200,Sjaelland,2008,0,Quarterly,False,0
DK50231629,SydBogholderi IVS,ENK,96020,Midtjylland,2022,0,Quarterly,False,0
DK40571534,FjordTek A/S,ENK,86220,Syddanmark,2020,1-4,Quarterly,False,1
DK21464524,FjordByg ApS,ENK,70220,Nordjylland,2020,5-9,Quarterly,False,0
DK93547641,BjergAdvice IVS,A_S,69200,Sjaelland,2000,10-19,Quarterly,False,0
DK81622189,AaaRegnskab Holding ApS,ApS,56100,Nordjylland,2004,0,Quarterly,False,1
DK23080393,KlippeRaad Holding ApS,ENK,62020,Syddanmark,2010,1-4,Quarterly,False,0
DK24554646,LynAdvice Holding ApS,ApS,62020,Hovedstaden,1991,5-9,Quarterly,False,1
DK80119335,FjordData ApS,ApS,62010,Syddanmark,1991,0,Half-yearly,False,0
DK10528813,KlippeSystem IVS,ApS,85590,Sjaelland,1996,20-49,Quarterly,False,1
DK71363504,HavStudio A/S,A_S,41200,Hovedstaden,2008,0,Quarterly,False,1
DK78026277,LynRegnskab Holding ApS,ApS,56100,Hovedstaden,2003,0,Quarterly,False,0
DK52169052,SkyTek ApS,ApS,85590,Hovedstaden,2000,5-9,Quarterly,False,1
DK12534672,NordMarked Holding ApS,ApS,71121,Syddanmark,2023,5-9,Half-yearly,False,0
DK42157808,NordTal Holding ApS,ENK,46900,Sjaelland,1990,1-4,Quarterly,False,1
DK14145537,AaaByg ApS,ENK,62020,Hovedstaden,2013,0,Quarterly,False,1
DK34348566,LynHandel IVS,ENK,62010,Syddanmark,2006,20-49,Quarterly,False,0
DK90517412,SydRaad Holding ApS,IVS,41200,Syddanmark,2002,5-9,Monthly,False,1
DK71678371,BjergSystem ApS,ApS,71121,Midtjylland,2012,0,Monthly,False,1
DK94050355,MaaneService ApS,ENK,46900,Syddanmark,1993,0,Monthly,False,0
DK21546228,AaaStudio ApS,ApS,85590,Syddanmark,1991,5-9,Half-yearly,False,1
DK94018714,SolTek Holding ApS,ApS,41200,Nordjylland,2005,1-4,Half-yearly,False,0
DK38134995,AaaService Holding ApS,ApS,46900,Hovedstaden,2007,5-9,Half-yearly,False,1
DK30490545,NordKonsulent IVS,Holding,46900,Hovedstaden,1998,1-4,Quarterly,True,1
DK42626698,NordVaerk IVS,A_S,69200,Midtjylland,2008,10-19,Quarterly,False,0
DK75850080,SkySmede ApS,ApS,62010,Nordjylland,2004,1-4,Monthly,False,0
DK49930261,HavLabs ApS,ApS,70220,Midtjylland,2012,1-4,Quarterly,False,1
DK21868700,BirkLogistik Holding ApS,ApS,62020,Hovedstaden,2005,0,Quarterly,False,0
DK77694855,KlippeKontor ApS,ApS,70220,Sjaelland,2003,10-19,Monthly,False,0
DK49131672,SkovTek A/S,ApS,01130,Hovedstaden,2011,1-4,Half-yearly,False,0
DK35907525,BirkData IVS,A_S,63110,Hovedstaden,2021,1-4,Quarterly,False,1
DK41038499,FjordKontor ApS,ApS,62010,Nordjylland,2002,1-4,Quarterly,False,0
DK32240735,BjergService Holding ApS,ApS,69200,Hovedstaden,2016,20-49,Half-yearly,False,1
DK41194323,MarkHandel IVS,ApS,69200,Hovedstaden,1995,1-4,Half-yearly,False,0
DK72841803,MaaneSmede A/S,ENK,41200,Midtjylland,2006,5-9,Quarterly,False,0
DK61709286,KlippeMarked A/S,IVS,46900,Sjaelland,2001,1-4,Quarterly,False,1
DK67024340,FjordMarked ApS,ApS,85590,Syddanmark,1998,1-4,Quarterly,False,1
DK50650344,AaaKonsulent A/S,ApS,41200,Syddanmark,2004,10-19,Monthly,False,0
DK14241242,KlippeDesign Holding ApS,ApS,70220,Midtjylland,2011,5-9,Quarterly,False,1
DK97339777,BjergRaad ApS,ApS,86220,Sjaelland,2000,10-19,Quarterly,False,0
DK64692595,SkyDesign A/S,A_S,62020,Hovedstaden,2020,0,Quarterly,False,1
DK23552177,VestHandel ApS,ApS,62010,Midtjylland,2016,1-4,Quarterly,False,1
DK45230379,OestRen A/S,ApS,62010,Sjaelland,1995,1-4,Quarterly,False,1
DK99183025,StjerneKontor ApS,IVS,47990,Midtjylland,2017,0,Quarterly,False,1
DK28262780,EngLogistik Holding ApS,ApS,71121,Hovedstaden,2023,1-4,Quarterly,False,1
DK21315140,OestData ApS,ApS,62020,Midtjylland,2017,1-4,Quarterly,False,1
DK65367057,SkovHandel A/S,A_S,47410,Syddanmark,2023,10-19,Quarterly,False,0
DK35839444,SoeSmede IVS,ApS,62020,Midtjylland,2002,1-4,Quarterly,False,1
